minute,lat,lon
0,51.127283346271156,-105.52896576199144
1,51.62080702984048,-99.64216085241588
2,51.788449394803415,-93.66636442602302
3,51.62597292529223,-87.69039084201685
4,51.13764912719615,-81.80307971112957
5,50.33573724408188,-76.08441678603644
6,49.23906232036011,-70.59871959545565
7,47.87105605346131,-65.39111308998915
8,46.25768949971969,-60.48734461170732
9,44.42564444652076,-55.896088791899935
10,42.400914863120825,-51.61256027426167
11,40.207881054538795,-47.622397639877605
12,37.86880066246096,-43.905147265302986
13,35.40361752253405,-40.43704014676263
14,32.82998582548162,-37.19301262596952
15,30.16342374947677,-34.148061220609996
16,27.417533506599952,-31.27807301266935
17,24.60424585478555,-28.560273447568434
18,21.734063644645744,-25.97341110707227
19,18.816290626231943,-23.49777079766139
20,15.859239365929195,-21.115080244507887
21,12.870416799346533,-18.808354695814
22,9.856688631231021,-16.561708104113723
23,6.824425217853097,-14.360148479866695
24,3.7796322397744593,-12.18936746783982
25,0.7280697281502148,-10.035529223023438
26,-2.3246369433230547,-7.885060509389904
27,-5.372890519410693,-5.7244420750848635
28,-8.411016234606102,-3.5400004268099132
29,-11.433153564339074,-1.3176989539641732
30,-14.433141805787384,0.9570720967567137
31,-17.404395905225897,3.2997059168351934
32,-20.339768955196067,5.726586357079079
33,-23.231397926403286,8.255284745743053
34,-26.070529640283947,10.904732835153807
35,-28.847324994779214,13.695349265522418
36,-31.550641439140374,16.649083782188363
37,-34.16779726446929,19.789325331804516
38,-36.68432726975414,23.140596736240298
39,-39.08374881003473,26.727931270592308
40,-41.34737113353593,30.575800268820775
41,-43.45419966927769,34.70644776574409
42,-45.38100915801903,39.137510219530725
43,-47.10268021196763,43.87888961685474
44,-48.59290229158507,48.929042996297575
45,-49.82532518028267,54.27116495474176
46,-50.77517202680219,59.87011938082193
47,-51.421202294283,65.67125981980858
48,-51.747755112958025,71.60221084577438
49,-51.74647580287898,77.5780656372272
50,-51.417313841104075,83.50937195821062
51,-50.768526371402395,89.31120136242103
52,-49.81568655302461,94.91114048095744
53,-48.57996152911898,100.25449703111617
54,-47.08607129536223,105.30608973288011
55,-45.36032594057031,110.0490750437884
56,-43.42901139848767,114.4818822608589
57,-41.317236069141074,118.61439678401739
58,-39.04822578342038,122.46424872478737
59,-36.642985356395855,126.0536843530798
60,-34.120223883607856,129.40718407169257
61,-31.496449218926372,132.5497955736674
62,-28.7861577049256,135.50606035842569
63,-26.00206743721624,138.2993896202001
64,-23.155362098571594,140.95175858193303
65,-20.255926309165762,143.48361453626293
66,-17.312562897691752,145.91392123498034
67,-14.333188503905271,148.26028570812906
68,-11.325007503768537,150.5391317192809
69,-8.294666241118588,152.76589722739476
70,-5.24839056359704,154.9552423768086
71,-2.192110108083051,157.1212606810852
72,0.8684270718948994,159.27769005087518
73,3.927545933224238,161.4381227756273
74,6.979538349805236,163.61621493553199
75,10.018555941018223,165.8258962480538
76,13.038498250933356,168.08158114370238
77,16.03289267080411,170.39838087589783
78,18.994762474630924,172.7923145085118
79,21.91647940405356,175.28051333356646
80,24.789597527807288,177.8814080970246
81,27.60466583179128,-179.38511941904227
82,30.351018519837876,-176.4976503611506
83,33.01654484540579,-173.43325433286566
84,35.58744520698444,-170.16769399897808
85,38.04798819809299,-166.67590271248662
86,40.38029538363644,-162.93285723284552
87,42.564197552861586,-158.91498865280903
88,44.5772276237643,-154.6022708955282
89,46.39483796856798,-149.98106834151287
90,47.99094540925745,-145.04767480650378
91,49.33890066007312,-139.81220670631055
92,50.41293111918716,-134.3021425787923
93,51.190001992616416,-128.5644453188196
94,51.651888834267176,-122.66509235362169
95,51.78710243077049,-116.68522534224748
96,51.59223618106536,-110.71407424376434
97,51.07238764414739,-104.83998394684417
98,50.24053773737718,-99.14165443795109
99,49.11605735426746,-93.68161439212382
